,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
335,Percentage of sexually active unmarried women women who know of diaphragm,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_DIA,30181012,32433140,,,,I,0,Knowledge of diaphragm (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWDIA,Diaphragm,
336,Percentage of sexually active unmarried women women who know of foam or jelly,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_FOM,30181013,32433150,,,,I,0,Knowledge of foam or jelly (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWFOM,Foam or jelly,
337,Percentage of sexually active unmarried women women who know of monthly pill,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_MPL,30181014,32433160,,,,I,0,Knowledge of monthly pill (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWMPL,Monthly pill,
338,Percentage of sexually active unmarried women women who know of standard days method,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_STD,30181015,32433170,,,,I,0,Knowledge of standard days method (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWSTD,Standard days method,
339,Percentage of sexually active unmarried women women who know of other modern methods,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_OMD,30181019,32433180,,,,I,0,Knowledge of other modern methods (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWOMD,Other modern method,
340,Percentage of sexually active unmarried women women who know of any traditional method,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_TRA,30181020,32433190,,,,I,0,Knowledge of any traditional method (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWTRA,Any traditional method,
341,Percentage of sexually active unmarried women women who know of periodic abstinence,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_RHY,30181021,32433200,,,,I,0,Knowledge of periodic abstinence (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWRHY,Rhythm,
342,Percentage of sexually active unmarried women women who know of withdrawal,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_WTH,30181022,32433210,,,,I,0,Knowledge of withdrawal (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWWTH,Withdrawal,
343,Percentage of sexually active unmarried women women who know of breastfeeding,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_BRF,30181024,32433230,,,,I,0,Knowledge of breastfeeding (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWBRF,Breastfeeding,
344,Percentage of sexually active unmarried women women who know of other traditional methods,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_OTR,30181029,32433240,,,,I,0,Knowledge of other traditional methods (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWOTR,Other traditional methods,
345,Percentage of sexually active unmarried women women who know of any folk method,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_FLK,30181030,32433250,,,,I,0,Knowledge of any folk method (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWFLK,Folk method,
346,Percentage of sexually active unmarried women women who know of any traditional or folk method,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_TFK,30181035,32433260,,,,I,0,Knowledge of any traditional or folk method (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Percent,1,,FPKMTUWTFK,Any traditional or folk method,
347,Mean number of contraceptive methods known by sexually active unmarried women,Sexually active unmarried women,FP_KMTU_W_UNW,FP_KMTU_W_NUM,FP_KMTU_W_MNM,109147001,32433270,,,,I,0,Mean number of contraceptive methods known (sexually active unmarried women),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Mean,1,,FPKMTUWMNM,Mean number of methods known,
348,Number of sexually active unmarried women,Sexually active unmarried women,FP_KMTU_W_UNW,,FP_KMTU_W_NUM,30111000,32433280,,,,D,0,Number of sexually active unmarried women,Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Number,0,,FPKMTUWNUM,Number of sexually active unmarried women,
349,Number of sexually active unmarried women (unweighted),Sexually active unmarried women,,FP_KMTU_W_NUM,FP_KMTU_W_UNW,,32433290,,,,U,0,Number of sexually active unmarried women (unweighted),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Women,Number,0,,FPKMTUWUNW,Number of sexually active unmarried women (unweighted),
350,Percentage of sexually active unmmarried men who know any method of contraception,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_ANY,158181000,32434010,,,,I,0,Knowledge of any method of contraception (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMANY,Any method,83
351,Percentage of sexually active unmmarried men who know any modern method of contraception,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_MOD,158181001,32434020,,,,I,0,Knowledge of any modern method of contraception (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMMOD,Any modern method,83
352,Percentage of sexually active unmmarried men who know of female sterilization,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_FST,158181007,32434030,,,,I,0,Knowledge of female sterilization (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMFST,Female sterilization,83
353,Percentage of sexually active unmmarried men who know of male sterilization,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_MST,158181008,32434040,,,,I,0,Knowledge of male sterilization (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMMST,Male sterilization,83
354,Percentage of sexually active unmmarried men who know of pill,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_PIL,158181002,32434050,,,,I,0,Knowledge of pill (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMPIL,Pill,83
355,Percentage of sexually active unmmarried men who know of IUD,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_IUD,158181003,32434060,,,,I,0,Knowledge of IUD (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMIUD,IUD,83
356,Percentage of sexually active unmmarried men who know of injections,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_INJ,158181004,32434070,,,,I,0,Knowledge of injections (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMINJ,Injectables,83
357,"Percentage of sexually active unmmarried men who know of diaphragm, foam or jelly",Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_DFJ,158181005,32434080,,,,I,0,"Knowledge of diaphragm, foam or jelly (sexually active unmmarried men)",Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMDFJ,"Diaphragm, foam or jelly",83
358,Percentage of sexually active unmmarried men who know of implants,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_IMP,158181009,32434090,,,,I,0,Knowledge of implants (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMIMP,Implants,83
359,Percentage of sexually active unmmarried men who know of condom,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_MCN,158181006,32434100,,,,I,0,Knowledge of condom (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMMCN,Male condom,83
360,Percentage of sexually active unmmarried men who know of female condom,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_FCN,158181011,32434110,,,,I,0,Knowledge of female condom (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMFCN,Female condom,83
361,Percentage of sexually active unmmarried men who know of lactational amenorrhea method,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_LAM,158181010,32434120,,,,I,0,Knowledge of lactational amenorrhea method (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMLAM,Lactational amenorrhea (LAM),83
362,Percentage of sexually active unmmarried men who know of emergency contraception,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_EMC,,32434130,,,,I,0,Knowledge of emergency contraception (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMEMC,Emergency contraception,83
363,Percentage of sexually active unmmarried men who know of diaphragm,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_DIA,158181012,32434140,,,,I,0,Knowledge of diaphragm (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMDIA,Diaphragm,83
364,Percentage of sexually active unmmarried men who know of foam or jelly,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_FOM,158181013,32434150,,,,I,0,Knowledge of foam or jelly (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMFOM,Foam or jelly,83
365,Percentage of sexually active unmmarried men who know of monthly pill,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_MPL,158181014,32434160,,,,I,0,Knowledge of monthly pill (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMMPL,Monthly pill,
366,Percentage of sexually active unmmarried men who know of standard days method,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_STD,158181015,32434170,,,,I,0,Knowledge of standard days method (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMSTD,Standard days method,83
367,Percentage of sexually active unmmarried men who know of other modern methods,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_OMD,158181019,32434180,,,,I,0,Knowledge of other modern methods (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMOMD,Other modern method,83
368,Percentage of sexually active unmmarried men who know of any traditional method,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_TRA,158181020,32434190,,,,I,0,Knowledge of any traditional method (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMTRA,Any traditional method,83
369,Percentage of sexually active unmmarried men who know of periodic abstinence,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_RHY,158181021,32434200,,,,I,0,Knowledge of periodic abstinence (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMRHY,Rhythm,83
370,Percentage of sexually active unmmarried men who know of withdrawal,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_WTH,158181022,32434210,,,,I,0,Knowledge of withdrawal (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMWTH,Withdrawal,83
371,Percentage of sexually active unmmarried men who know of other traditional methods,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_OTR,158181029,32434240,,,,I,0,Knowledge of other traditional methods (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMOTR,Other traditional methods,
372,Percentage of sexually active unmmarried men who know of any folk method,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_FLK,158181030,32434250,,,,I,0,Knowledge of any folk method (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMFLK,Folk method,83
373,Percentage of sexually active unmmarried men who know of any traditional or folk method,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_TFK,158181035,32434260,,,,I,0,Knowledge of any traditional or folk method (sexually active unmmarried men),Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Percent,1,,FPKMTUMTFK,Any traditional or folk method,83
374,Mean number of methods known by sexually active unmarried men age 15-49,Sexually active unmarried men,FP_KMTU_M_UNW,FP_KMTU_M_NUM,FP_KMTU_M_MNM,0,32434270,,,,I,0,Mean number of methods known by sexually active unmarried men age 15-49,Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents,Men,Mean,1,,FPKMTUMMNM,Mean number of methods known by sexually active unmarried men age 15-49,83
